First Name,Mobile Phone,Home Address
Grand Hantha ဆေးရုံ,01523000,"အမှတ် (၃)၊ နာနတ်တောလမ်းနှင့် ကြည့်မြင်တိုင်ကမ်းနားလမ်းထောင့်၊ ကမာရွတ်"
လှည်းတန်းဆေးခန်း,09403789779,"လှည်းတန်း ၅လမ်း၊ အမှတ် ၃ ရပ်ကွက်၊ ကမာရွတ်"
စံရိပ်ငြိမ်ဆေးခန်း,09793245699,"အင်းယားရွာမကျောင်း၊ စံရိပ်ငြိမ်၊ ကမာရွတ်"
အောင်မင်္ဂလာ သွားနှင့်ခံတွင်း,09777540009,"အမှတ် ၂၆၊ ဆရာစံလမ်းနှင့် အောင်မင်္ဂလာလမ်းထောင့်၊ ကမာရွတ်"
Right Medical Centre,09263150304,"ဒိုင်းမွန်းကွန်ဒို၊ ပြည်လမ်း၊ ကမာရွတ်"
ကမာရွတ်ဒေသန္တရဆေးခန်း,01534262,"အမှတ် ၉၂/၉၄၊ လှည်းတန်းလမ်း၊ ၃ ရပ်ကွက်၊ ကမာရွတ်"
Nature's Glory Wellness,09256332722,"အမှတ် ၉/၁၁၊ ဇေယျဝတီလမ်း၊ ဗဟိုလမ်း၊ ကမာရွတ်"
တက္ကသိုလ်များဆေးရုံ,01535541,"အမှတ် ၁၆၀၊ တက္ကသိုလ်ရိပ်သာလမ်း၊ ၉ ရပ်ကွက်၊ ကမာရွတ်"
မြင့်မြတ်တော်ဝင်ဆေးရုံ,0932006350,"အမှတ် ၅၀၇၊ ပြည်လမ်း၊ ကမာရွတ်"
သုခကမ္ဘာဆေးရုံ,01500100,"အမှတ် ၆၁၅/E၊ မာလာလမ်းသွယ်၊ ပြည်လမ်း၊ ကမာရွတ်"
စံညိုညိုမြင့် အထူးကုဆေးခန်း,09421084085,"အမှတ် ၅၅၊ ဗဟိုလမ်း၊ ကမာရွတ်"
တော်ဝင်အိုအေစစ်,0943065075,"ယုဇနအဝေးပြေးအိမ်ရာ၊ ကမာရွတ်"
မိုးစန္ဒာ အထူးကုဆေးခန်း,09258767357,"အမှတ် ၁၃/A၊ စံရိပ်ငြိမ် ၂ လမ်း၊ ကမာရွတ်"
လင်း မျက်စိအထူးကုဆေးခန်း,0973105304,"အမှတ် ၂၊ လှည်းတန်းလမ်း၊ ကမာရွတ်"
လဝန်းရိပ် အထွေထွေကုဆေးခန်း,0973055521,"အမှတ် ၈၂၊ ဗဟိုလမ်း၊ ကမာရွတ်"
Dr.D သွားဆေးခန်း,0973024609,"ရွှေစံပယ်ရိပ်မွန်၊ ဘုရင့်နောင်လမ်း၊ ကမာရွတ်"
ABC အထူးကုဆေးခန်း,01707803,"ဘုရင့်နောင်တာဝါ၊ ကမာရွတ်"
အေးငြိမ်းသာ အထူးကုဆေးခန်း,01524562,"အမှတ် ၂၃၊ လှည်းတန်းလမ်း၊ ၈ ရပ်ကွက်၊ ကမာရွတ်"
သီဟထွန်း အထူးကုဆေးခန်း,01500760,"အမှတ် ၅၈၊ ရန်ကုန်အင်းစိန်လမ်း၊ ကမာရွတ်"
လပ်ကီးစတား ဆေးကုခန်း,01536355,"ရွှေစံပါယ်ရိပ်မွန်၊ ဘုရင့်နောင်လမ်း၊ ကမာရွတ်"
အေးမြသီတာ မျက်စိအထူးကု,095000794,"အမှတ် ၅၆/A၊ လှည်းတန်းလမ်းမ၊ ကမာရွတ်"
အမေရိကန်ဗွီရှင်း (၃) မျက်စိ,01539604,"ရွှေပုံးညက်ရိပ်မွန်၊ ဘုရင့်နောင်လမ်း၊ ကမာရွတ်"
အောင် ဆေးခန်း,01534222,"အမှတ် ၃၅၊ လှည်းတန်းလမ်း၊ ကမာရွတ်"
သီတာဦး ဆေးခန်း,01539174,"အောင်ချမ်းသာ ၃ လမ်း၊ ကမာရွတ်"
ရွှင်ပြသက်သာ ဆေးခန်း,095199261,"ဟံသာရိပ်မွန်အိမ်ယာ၊ ကမာရွတ်"
ဒေါက်တာအောင်ထွန်းဦး ဆေးခန်း,01513336,"အမှတ် ၃၉၊ ဗဟိုလမ်း၊ ၃ ရပ်ကွက်၊ ကမာရွတ်"
ထက် ဆေးခန်း,01515061,"အင်းစိန်လမ်း၊ အောင်မြေသာစည်အိမ်ယာ၊ ကမာရွတ်"
ဆေးပဒေသာ ဆေးခန်း,-,"အမှတ် ၆၉၊ လှည်းတန်း ၇ လမ်း၊ ကမာရွတ်"
ချမ်းသာသုခ ဆေးခန်း,095412376,"အမှတ် ၄၀/B၊ စံရိပ်ငြိမ် ၂ လမ်း၊ ကမာရွတ်"
ခိုင် ဆေးခန်း,01512740,"အောင်မြေသာစည်အိမ်ယာ၊ ကမာရွတ်"
ကျော် ဆေးခန်း,01513392,"ဟံသာရိပ်မွန်အိမ်ယာ၊ ကမာရွတ်"
ကျေးဇူး အရေပြားအထူးကု,01527907,"အမှတ် ၅၀၇/A၊ ပြည်လမ်း၊ ကမာရွတ်"
မိုးမေတ္တာ ဆေးရုံ,01523568,"အမှတ် ၃၀၊ အောင်မြေသာစည် ၁ လမ်း၊ ကမာရွတ်"
မေတ္တာဦး ဆေးရုံ,01527381,"အမှတ် ၄၉၉၊ ပြည်လမ်း၊ ကမာရွတ်"
